epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,573.669,0.79409,0.58643,1.05373,0.81282,0.7062,0.73168,0.52328,0.99038,0.74092,1.0985,0.00132868,0.00132868,0.00132868
43,587.132,0.80203,0.60162,1.06162,0.79058,0.75424,0.76368,0.53831,0.99646,0.72656,1.08488,0.00132043,0.00132043,0.00132043
44,600.615,0.82984,0.59493,1.05331,0.80227,0.71472,0.74718,0.5325,1.03429,0.7374,1.11745,0.00131218,0.00131218,0.00131218
45,614.093,0.77733,0.57774,1.04735,0.79727,0.7405,0.75306,0.54739,0.95417,0.6995,1.06596,0.00130393,0.00130393,0.00130393
46,627.564,0.80878,0.59154,1.05609,0.78028,0.7027,0.73116,0.52296,1.01477,0.77777,1.12519,0.00129568,0.00129568,0.00129568
47,641.039,0.78966,0.57873,1.04424,0.79783,0.71145,0.74408,0.54762,0.93182,0.71748,1.06083,0.00128742,0.00128742,0.00128742
48,654.505,0.77704,0.58243,1.05139,0.80523,0.74368,0.76692,0.56053,0.92981,0.69439,1.06565,0.00127917,0.00127917,0.00127917
49,668,0.75349,0.79295,1.02173,0.80674,0.73662,0.75551,0.54506,0.99307,0.70337,1.10369,0.00127092,0.00127092,0.00127092
50,681.471,0.7658,0.56082,1.04116,0.85347,0.72577,0.7671,0.55875,0.93115,0.67809,1.05298,0.00126267,0.00126267,0.00126267
51,694.913,0.7563,0.57403,1.03512,0.83892,0.73614,0.77643,0.5621,0.96051,0.70021,1.06645,0.00125442,0.00125442,0.00125442
52,708.325,0.75881,0.56341,1.03919,0.864,0.71237,0.76599,0.56321,0.92796,0.6728,1.06536,0.00124617,0.00124617,0.00124617
53,721.751,0.75191,0.55661,1.02827,0.85066,0.72081,0.76494,0.54404,0.97402,0.73789,1.08942,0.00123791,0.00123791,0.00123791
54,735.196,0.7811,0.57235,1.06228,0.86085,0.70508,0.75135,0.55352,0.92822,0.71853,1.0563,0.00122966,0.00122966,0.00122966
55,748.58,0.74078,0.54667,1.03444,0.80938,0.72747,0.75657,0.55534,0.95403,0.70411,1.09325,0.00122141,0.00122141,0.00122141
56,762.011,0.75426,0.5404,1.04044,0.80149,0.73586,0.74624,0.53804,0.97583,0.71603,1.11656,0.00121316,0.00121316,0.00121316
57,775.387,0.7483,0.5467,1.03195,0.78983,0.72528,0.76086,0.56147,0.95135,0.66489,1.05934,0.00120491,0.00120491,0.00120491
58,788.68,0.74671,0.56167,1.04002,0.81775,0.76485,0.78082,0.57188,0.93161,0.66407,1.06094,0.00119666,0.00119666,0.00119666
59,802.023,0.71899,0.51988,1.03467,0.8497,0.70548,0.76629,0.55955,0.94922,0.67409,1.08086,0.0011884,0.0011884,0.0011884
60,815.373,0.73785,0.52852,1.06806,0.80807,0.72665,0.75284,0.56184,0.94633,0.69073,1.06693,0.00118015,0.00118015,0.00118015
61,828.717,0.73236,0.51723,1.02311,0.79105,0.73326,0.76212,0.55437,0.95888,0.73779,1.10038,0.0011719,0.0011719,0.0011719
62,842.182,0.73801,0.54497,1.03065,0.80664,0.72581,0.75803,0.55562,0.95385,0.70922,1.06809,0.00116365,0.00116365,0.00116365
63,855.709,0.73449,0.53108,1.02031,0.86113,0.73498,0.77631,0.56221,0.95496,0.65899,1.07914,0.0011554,0.0011554,0.0011554
64,869.206,0.72273,0.51486,1.01898,0.84779,0.7417,0.76446,0.55323,0.96176,0.68613,1.07069,0.00114715,0.00114715,0.00114715
65,882.654,0.72037,0.52006,1.01257,0.85726,0.73493,0.78057,0.56979,0.93715,0.66779,1.04498,0.00113889,0.00113889,0.00113889
66,896.035,0.8188,0.73532,1.07646,0.84102,0.76478,0.77988,0.57499,0.93313,0.64353,1.03636,0.00113064,0.00113064,0.00113064
67,909.374,0.70293,0.50691,1.01891,0.82868,0.75623,0.77584,0.57573,0.9216,0.66435,1.05777,0.00112239,0.00112239,0.00112239
68,922.703,0.69194,0.87363,0.98634,0.85806,0.72941,0.76414,0.56078,0.94566,0.73652,1.06495,0.00111414,0.00111414,0.00111414
69,935.973,0.74462,0.51769,1.05811,0.79044,0.74986,0.76433,0.56848,0.92144,0.68191,1.05809,0.00110589,0.00110589,0.00110589
70,949.278,0.71758,0.51329,1.01126,0.8117,0.72956,0.75696,0.55702,0.94512,0.71473,1.07748,0.00109764,0.00109764,0.00109764
71,962.69,0.69933,0.82833,0.99052,0.8651,0.72601,0.76656,0.56797,0.94565,0.70186,1.05644,0.00108938,0.00108938,0.00108938
72,976.028,0.70023,0.51235,1.01766,0.85067,0.74239,0.77257,0.57295,0.91364,0.64419,1.04205,0.00108113,0.00108113,0.00108113
73,989.265,0.72607,0.51521,1.0348,0.8386,0.74558,0.77278,0.57504,0.89496,0.66968,1.0359,0.00107288,0.00107288,0.00107288
74,1002.62,0.71688,0.51031,1.01763,0.85359,0.73657,0.77534,0.56584,0.96696,0.64496,1.06907,0.00106463,0.00106463,0.00106463
75,1015.93,0.70228,0.49803,1.02012,0.87157,0.74149,0.78385,0.58301,0.91229,0.62168,1.04198,0.00105638,0.00105638,0.00105638
76,1029.45,0.70675,0.49681,1.01297,0.84805,0.74524,0.77268,0.56828,0.94949,0.66882,1.06286,0.00104813,0.00104813,0.00104813
