epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,399.327,0.77083,0.56297,1.04545,0.85937,0.71761,0.76512,0.55492,0.94716,0.69312,1.06228,0.000990365,0.000990365,0.000990365
43,408.686,0.78206,0.57832,1.05025,0.85602,0.71495,0.76155,0.5533,0.95603,0.67151,1.05535,0.000973861,0.000973861,0.000973861
44,418.02,0.76702,0.55298,1.02939,0.82489,0.7236,0.75601,0.55443,0.95681,0.70328,1.05722,0.000957358,0.000957358,0.000957358
45,427.246,0.74584,0.54531,1.02765,0.80431,0.73045,0.77059,0.55577,0.95161,0.69497,1.06094,0.000940855,0.000940855,0.000940855
46,436.617,0.76007,0.56162,1.03204,0.83269,0.75115,0.76485,0.54782,0.95115,0.69921,1.05255,0.000924352,0.000924352,0.000924352
47,445.93,0.7417,0.54193,1.01881,0.8239,0.70887,0.74935,0.55143,0.95397,0.73472,1.06853,0.000907848,0.000907848,0.000907848
48,455.251,0.73087,0.53358,1.03608,0.82095,0.71911,0.75565,0.56611,0.92931,0.68738,1.05596,0.000891345,0.000891345,0.000891345
49,464.529,0.72454,0.74266,1.00914,0.82125,0.71633,0.76219,0.55726,0.93142,0.7116,1.05823,0.000874842,0.000874842,0.000874842
50,473.719,0.73736,0.5288,1.0247,0.82281,0.72907,0.76464,0.5629,0.94651,0.683,1.04592,0.000858338,0.000858338,0.000858338
51,482.976,0.72087,0.53297,1.01976,0.83327,0.73865,0.77594,0.565,0.94844,0.65427,1.0477,0.000841835,0.000841835,0.000841835
52,492.29,0.72148,0.52059,1.01709,0.8289,0.7315,0.76959,0.57041,0.93747,0.67671,1.03474,0.000825332,0.000825332,0.000825332
53,501.644,0.73317,0.53087,1.014,0.80098,0.76618,0.77356,0.58003,0.89485,0.66768,1.02249,0.000808828,0.000808828,0.000808828
54,510.892,0.72224,0.52604,1.04886,0.81572,0.74538,0.76829,0.56981,0.8982,0.66543,1.03286,0.000792325,0.000792325,0.000792325
55,520.123,0.69888,0.51177,1.01227,0.87872,0.71314,0.77099,0.57603,0.89578,0.66319,1.01224,0.000775822,0.000775822,0.000775822
56,529.377,0.72116,0.50628,1.0207,0.86068,0.73756,0.76775,0.55872,0.9483,0.67368,1.0595,0.000759318,0.000759318,0.000759318
57,538.669,0.69787,0.49844,1.00967,0.83704,0.74189,0.78116,0.57381,0.93515,0.65462,1.0386,0.000742815,0.000742815,0.000742815
58,547.913,0.69982,0.50894,1.01619,0.87293,0.75413,0.79079,0.58793,0.87519,0.63891,1.01555,0.000726312,0.000726312,0.000726312
59,557.205,0.68811,0.48884,1.01714,0.81818,0.77801,0.79459,0.58399,0.89775,0.65638,1.01958,0.000709809,0.000709809,0.000709809
60,566.521,0.71144,0.49289,1.05552,0.87558,0.72267,0.76935,0.56981,0.90586,0.65879,1.04172,0.000693305,0.000693305,0.000693305
61,575.919,0.67981,0.48654,0.99902,0.85201,0.74892,0.78007,0.57894,0.89674,0.63707,1.00972,0.000676802,0.000676802,0.000676802
62,585.249,0.68748,0.49533,1.00661,0.84533,0.75232,0.77512,0.576,0.90626,0.64032,1.0308,0.000660299,0.000660299,0.000660299
63,594.626,0.67898,0.48811,0.99694,0.80876,0.7609,0.78055,0.57142,0.89428,0.63477,1.04882,0.000643795,0.000643795,0.000643795
64,604.001,0.66637,0.46084,0.99311,0.85565,0.73865,0.79356,0.58564,0.88484,0.65885,1.01829,0.000627292,0.000627292,0.000627292
65,613.354,0.65929,0.46779,0.98765,0.85746,0.76804,0.80922,0.59534,0.88559,0.6388,1.007,0.000610789,0.000610789,0.000610789
66,622.763,0.73237,0.54914,1.03455,0.86415,0.76458,0.79724,0.59364,0.87989,0.60136,1.01206,0.000594286,0.000594286,0.000594286
67,632.128,0.65072,0.45627,0.99524,0.87561,0.75206,0.78961,0.59268,0.88682,0.612,1.01577,0.000577782,0.000577782,0.000577782
68,641.486,0.63474,0.74336,0.96207,0.80314,0.79274,0.79661,0.59813,0.8635,0.60552,1.00384,0.000561279,0.000561279,0.000561279
69,650.916,0.67633,0.46517,0.99786,0.86718,0.74219,0.78626,0.59398,0.85869,0.62481,1.01217,0.000544776,0.000544776,0.000544776
70,660.298,0.65515,0.4592,0.9853,0.85842,0.75562,0.79896,0.59024,0.87474,0.61077,1.02604,0.000528272,0.000528272,0.000528272
71,669.634,0.64628,0.62078,0.96749,0.87747,0.74667,0.79384,0.59228,0.89076,0.62884,1.02824,0.000511769,0.000511769,0.000511769
72,679.047,0.64271,0.45395,0.99169,0.84747,0.75297,0.79564,0.58622,0.8855,0.60015,1.0364,0.000495266,0.000495266,0.000495266
73,688.455,0.66541,0.46081,1.00537,0.84573,0.76289,0.7948,0.59477,0.86685,0.60194,1.01971,0.000478762,0.000478762,0.000478762
74,697.909,0.64867,0.45014,0.98966,0.83444,0.78358,0.80139,0.59976,0.85719,0.59052,1.00714,0.000462259,0.000462259,0.000462259
75,707.327,0.63416,0.4408,0.99065,0.85091,0.75752,0.79314,0.5993,0.84983,0.58232,1.00171,0.000445756,0.000445756,0.000445756
76,716.664,0.63448,0.43943,0.98266,0.86419,0.77463,0.80467,0.60153,0.87507,0.58919,1.01804,0.000429253,0.000429253,0.000429253
77,725.907,0.64884,0.4479,0.99396,0.85806,0.76757,0.7959,0.60048,0.85959,0.60886,1.00409,0.000412749,0.000412749,0.000412749
78,735.207,0.63582,0.45297,0.98442,0.85531,0.76213,0.79596,0.59606,0.86425,0.59791,1.01111,0.000396246,0.000396246,0.000396246
79,744.446,0.64041,0.47407,0.99237,0.87421,0.77632,0.8121,0.61095,0.84369,0.57742,0.99564,0.000379743,0.000379743,0.000379743
80,753.68,0.63128,0.44028,0.9836,0.9006,0.75095,0.80339,0.60317,0.85327,0.58979,1.00904,0.000363239,0.000363239,0.000363239
81,762.915,0.61313,0.42766,0.97326,0.89233,0.74478,0.78744,0.5902,0.86598,0.59834,1.01894,0.000346736,0.000346736,0.000346736
82,772.337,0.60874,0.41721,0.9747,0.82049,0.78955,0.80156,0.6057,0.8397,0.58558,0.99017,0.000330233,0.000330233,0.000330233
83,781.646,0.59891,0.41755,0.96522,0.86252,0.76606,0.80388,0.61092,0.85807,0.59502,1.0033,0.000313729,0.000313729,0.000313729
84,790.874,0.60511,0.41593,0.96482,0.85586,0.7808,0.80703,0.60573,0.85358,0.58685,1.00207,0.000297226,0.000297226,0.000297226
85,800.137,0.62161,0.42858,0.98776,0.82945,0.78358,0.80537,0.60628,0.84237,0.57143,0.99827,0.000280723,0.000280723,0.000280723
86,809.392,0.60934,0.426,0.97491,0.84397,0.76935,0.80034,0.60619,0.84558,0.5836,0.99867,0.00026422,0.00026422,0.00026422
87,818.598,0.57609,0.4042,0.9611,0.86177,0.78398,0.80659,0.61198,0.84368,0.57312,1.00878,0.000247716,0.000247716,0.000247716
88,827.854,0.59051,0.41378,0.96537,0.87174,0.78523,0.80942,0.61425,0.84053,0.57311,1.00015,0.000231213,0.000231213,0.000231213
89,837.197,0.59136,0.39674,0.96934,0.85721,0.79701,0.80874,0.60874,0.84785,0.58059,1.00572,0.00021471,0.00021471,0.00021471
90,846.543,0.58015,0.41495,0.96086,0.84465,0.78826,0.80583,0.60838,0.83946,0.56623,0.99157,0.000198206,0.000198206,0.000198206
91,870.25,0.54429,0.35243,0.93721,0.85822,0.7806,0.80469,0.6112,0.83753,0.5693,0.99208,0.000181703,0.000181703,0.000181703
92,879.68,0.52749,0.33516,0.93179,0.8454,0.77761,0.80249,0.61158,0.81618,0.56382,0.98144,0.0001652,0.0001652,0.0001652
93,888.916,0.51363,0.33432,0.9319,0.86848,0.77632,0.81121,0.61231,0.82013,0.55741,0.98808,0.000148696,0.000148696,0.000148696
94,898.207,0.51752,0.3265,0.92379,0.88918,0.77903,0.81556,0.62089,0.81637,0.5516,0.98354,0.000132193,0.000132193,0.000132193
95,907.511,0.55078,0.35532,0.97495,0.85508,0.78702,0.81244,0.62067,0.81954,0.54816,0.98396,0.00011569,0.00011569,0.00011569
96,916.862,0.52886,0.38502,0.93928,0.87101,0.77781,0.81251,0.62195,0.81581,0.54476,0.98088,9.91865e-05,9.91865e-05,9.91865e-05
97,926.11,0.52935,0.33673,0.92647,0.874,0.77781,0.81597,0.62392,0.80352,0.54765,0.97779,8.26832e-05,8.26832e-05,8.26832e-05
98,935.42,0.48276,0.30447,0.91434,0.87805,0.78441,0.81879,0.62679,0.79982,0.53986,0.97821,6.61799e-05,6.61799e-05,6.61799e-05
99,944.727,0.60667,0.39583,1.07977,0.88534,0.77947,0.81633,0.62698,0.80308,0.54418,0.97741,4.96766e-05,4.96766e-05,4.96766e-05
100,954.014,0.48881,0.30475,0.905,0.87881,0.78471,0.81475,0.62628,0.80219,0.54042,0.97853,3.31733e-05,3.31733e-05,3.31733e-05
