epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,861.383,0.74015,0.54773,1.04108,0.81823,0.7196,0.75376,0.56404,0.87758,0.65408,1.03971,0.007921,0.007921,0.007921
44,881.34,0.75093,0.54914,1.04159,0.81904,0.71904,0.75648,0.56843,0.89434,0.68555,1.04828,0.0078715,0.0078715,0.0078715
45,901.12,0.73278,0.54392,1.03314,0.83987,0.74368,0.77555,0.56048,0.92572,0.63178,1.07073,0.007822,0.007822,0.007822
46,920.954,0.74199,0.53765,1.04052,0.86451,0.73541,0.77767,0.5709,0.90575,0.65014,1.04271,0.0077725,0.0077725,0.0077725
47,940.732,0.72148,0.53483,1.03278,0.78207,0.75473,0.76836,0.56417,0.91351,0.66939,1.04595,0.007723,0.007723,0.007723
48,960.7,0.72345,0.52562,1.02793,0.83956,0.74263,0.78024,0.57151,0.92355,0.66166,1.05413,0.0076735,0.0076735,0.0076735
49,980.506,0.72784,0.53302,1.03026,0.84185,0.75026,0.77869,0.57518,0.88586,0.64028,1.03346,0.007624,0.007624,0.007624
50,1000.32,0.72332,0.51868,1.02939,0.79553,0.74836,0.77125,0.57626,0.88507,0.65711,1.02783,0.0075745,0.0075745,0.0075745
51,1020.46,0.72401,0.52,1.02809,0.81676,0.76817,0.78473,0.57896,0.8774,0.6147,1.02771,0.007525,0.007525,0.007525
52,1040.68,0.71971,0.51487,1.03436,0.85462,0.73682,0.77956,0.5687,0.8974,0.61449,1.032,0.0074755,0.0074755,0.0074755
53,1060.64,0.70802,0.50816,1.01694,0.84365,0.74259,0.77813,0.57194,0.88481,0.66362,1.01533,0.007426,0.007426,0.007426
54,1080.52,0.71518,0.51456,1.02604,0.87162,0.7299,0.77405,0.57366,0.85691,0.63792,1.02634,0.0073765,0.0073765,0.0073765
55,1100.49,0.71322,0.51411,1.02779,0.82509,0.74776,0.77284,0.57971,0.87623,0.64393,1.03718,0.007327,0.007327,0.007327
56,1120.48,0.70847,0.5065,1.02329,0.8462,0.73852,0.78498,0.58334,0.88776,0.6261,1.03526,0.0072775,0.0072775,0.0072775
57,1140.33,0.69415,0.4992,1.01485,0.81287,0.75578,0.76975,0.57977,0.8798,0.6264,1.03151,0.007228,0.007228,0.007228
58,1160.2,0.69258,0.49806,1.01356,0.83551,0.74195,0.78391,0.58074,0.88979,0.62482,1.04808,0.0071785,0.0071785,0.0071785
59,1180.03,0.69598,0.50232,1.02153,0.84837,0.73771,0.77624,0.58205,0.88682,0.63999,1.0464,0.007129,0.007129,0.007129
60,1199.93,0.69621,0.48922,1.01665,0.83481,0.78528,0.802,0.59609,0.87281,0.58641,1.02701,0.0070795,0.0070795,0.0070795
61,1219.86,0.68123,0.4859,1.00095,0.864,0.74821,0.79917,0.5839,0.89239,0.6006,1.04691,0.00703,0.00703,0.00703
